Word,HamCount,SpamCount,Ratio Ham 0 - Spam 1,WordInHams,WordInSpams
03,1.0,0.0,1.0,0,0
04,2.0,0.0,1.0,0,0
04223586,1.0,0.0,1.0,1,0
04223810,1.0,0.0,1.0,1,0
06,1.0,0.0,1.0,0,0
0621,7.0,0.0,1.0,0,0
09,2.0,0.0,1.0,0,0
100,3.0,0.0,1.0,0,0
112,1.0,0.0,1.0,0,0
142,4.0,0.0,1.0,0,0
152,3.0,0.0,1.0,2,0
16,1.0,0.0,1.0,1,0
180,1.0,0.0,1.0,1,0
19,2.0,0.0,1.0,0,0
2019,1.0,0.0,1.0,1,0
21,1.0,0.0,1.0,0,0
212,1.0,0.0,1.0,1,0
226744,3.0,0.0,1.0,0,0
250,1.0,0.0,1.0,1,0
292,15.0,0.0,1.0,4,0
30,5.0,0.0,1.0,1,0
302,1.0,0.0,1.0,1,0
3448,1.0,0.0,1.0,0,0
41,1.0,0.0,1.0,1,0
46,2.0,0.0,1.0,0,0
47,2.0,0.0,1.0,0,0
49,21.0,0.0,1.0,3,0
509,2.0,0.0,1.0,2,0
56,1.0,0.0,1.0,0,0
60938,4.0,0.0,1.0,3,0
6097,1.0,0.0,1.0,0,0
621,8.0,0.0,1.0,4,0
6224,1.0,0.0,1.0,1,0
6231,4.0,0.0,1.0,0,0
6232,10.0,0.0,1.0,3,0
6234,1.0,0.0,1.0,1,0
6396,2.0,0.0,1.0,2,0
6420,1.0,0.0,1.0,1,0
6449,1.0,0.0,1.0,1,0
6455,1.0,0.0,1.0,1,0
6526,1.0,0.0,1.0,1,0
662341,1.0,0.0,1.0,1,0
67061,4.0,0.0,1.0,0,0
6727,1.0,0.0,1.0,0,0
67346,7.0,0.0,1.0,0,0
68163,8.0,0.0,1.0,5,0
80,1.0,0.0,1.0,0,0
91906,10.0,0.0,1.0,0,0
98,3.0,0.0,1.0,0,0
9egandcrab,1.0,0.0,1.0,0,0
_______________________________________________,1.0,0.0,1.0,1,0
__________________________________________________________,1.0,0.0,1.0,1,0
a206,1.0,0.0,1.0,0,0
abgerechnet,1.0,0.0,1.0,1,0
abgestimmt,1.0,0.0,1.0,0,0
abgewickelt,1.0,0.0,1.0,1,0
abholbereit,2.0,0.0,1.0,0,0
abholort,2.0,0.0,1.0,0,0
abschätzen,2.0,0.0,1.0,2,0
absender,6.0,0.0,1.0,2,0
absendername,1.0,0.0,1.0,1,0
absenders,1.0,0.0,1.0,1,0
abstecken,2.0,0.0,1.0,2,0
abuse,4.0,0.0,1.0,0,0
abzubilden,1.0,0.0,1.0,1,0
accept,2.0,0.0,1.0,2,0
achten,1.0,0.0,1.0,0,0
addressee,2.0,0.0,1.0,2,0
adobe,1.0,0.0,1.0,1,0
adressat,1.0,0.0,1.0,1,0
adressaten,2.0,0.0,1.0,2,0
adresse,5.0,0.0,1.0,2,0
adressen,2.0,0.0,1.0,2,0
aktivieren,1.0,0.0,1.0,1,0
aktuelle,1.0,0.0,1.0,1,0
aktuellen,2.0,0.0,1.0,2,0
alamiert,1.0,0.0,1.0,1,0
alarmhupe,1.0,0.0,1.0,1,0
alarmierungsfall,1.0,0.0,1.0,1,0
alves,1.0,0.0,1.0,1,0
alvesdesouza,1.0,0.0,1.0,0,0
anbei,4.0,0.0,1.0,3,0
anbieten,2.0,0.0,1.0,0,0
andere,2.0,0.0,1.0,1,0
anderem,1.0,0.0,1.0,1,0
anfertigen,2.0,0.0,1.0,2,0
anfragen,1.0,0.0,1.0,1,0
angeblich,1.0,0.0,1.0,0,0
angefallen,2.0,0.0,1.0,1,0
angefragte,1.0,0.0,1.0,1,0
angegeben,1.0,0.0,1.0,0,0
